,price,total_square,floor
3413,38000000,107.4,3
3414,9133890,25.0,9
3415,11799000,38.8,25
3416,17851764,67.0,4
3417,29200000,93.5,10
3418,22900000,71.0,5
3419,23041120,78.8,6
3420,11600000,76.0,5
3421,37100000,62.0,4
3422,21300000,62.0,14
3423,10800000,38.0,13
3424,12500000,46.8,3
3425,9000000,59.3,5
3426,13490000,39.1,7
3427,107700000,125.0,3
3428,13300000,83.0,7
3429,21036803,48.28,38
3430,90872000,122.8,8
3431,13714543,61.66,1
3432,16547300,54.0,21
3433,20599000,77.8,2
3434,49900000,110.0,17
3435,17700000,62.0,7
3436,24000000,58.0,5
3437,15690000,39.8,12
3438,12999999,67.0,4
3439,35045352,53.4,9
3440,18162796,97.3,24
3441,15000000,42.6,30
3442,8200000,60.0,16
3444,42000000,123.0,1
3445,23000000,76.3,3
3446,10990000,39.8,8
3447,13800000,64.92,10
3448,36758992,64.0,20
3449,19100000,80.0,1
3450,15800000,44.3,4
3451,14901268,90.1,7
3452,33238890,82.89,14
3453,32975282,94.0,41
3455,7790000,46.0,3
3456,49000000,103.0,2
3457,5500000,32.4,2
3458,12174345,35.2,7
3459,20325123,45.85,7
3460,7400000,42.8,1
3461,19000000,65.2,20
3462,34080000,56.8,30
3463,12200000,31.7,5
3464,13500000,95.6,8
3465,6664106,36.94,24
3466,11210820,37.9,16
3467,16439500,67.1,3
3468,19579416,66.0,10
3469,21500000,105.7,14
3470,14400000,104.0,18
3471,21564720,73.0,7
3472,21176960,98.54,5
3473,29073715,65.3,9
3474,13400000,50.5,1
3475,7749000,31.0,1
3476,14300000,54.0,9
3477,11500000,31.0,2
3478,7700000,41.8,5
3479,15051680,42.0,11
3480,38500000,69.3,14
3481,14379892,48.2,18
3482,15000000,38.2,8
3483,12172812,38.0,4
3484,9900000,60.0,18
3485,12919459,54.1,5
3486,11765200,52.3,7
3487,21500000,65.7,5
3488,7500000,56.0,4
3489,53540980,120.86,33
3490,16000000,74.4,10
3491,13200000,42.5,1
3492,78610480,130.0,14
3493,17800000,96.0,5
3494,7650000,37.0,14
3495,11659200,34.0,17
3497,59000000,89.5,1
3498,8200000,35.9,1
3499,12990000,51.7,6
3500,27800000,120.8,7
3501,18300000,64.6,7
3502,54500000,110.0,5
3503,50767800,132.9,57
3505,22417560,62.9,3
3506,31000000,108.0,15
3507,14563435,52.0,11
3508,11877044,53.8,4
3509,9154425,25.0,4
3510,23104190,62.2,12
3511,47300000,96.12,24
3512,12580000,55.0,5
3513,60749999,97.0,10
3514,6490000,32.0,4
3515,12300000,33.1,11
3516,27500000,81.8,16
3517,24000000,70.0,5
3518,23950000,99.9,9
3519,17900000,37.8,9
3520,17000000,67.7,3
3521,8400000,56.5,5
3522,19000000,52.7,1
3523,72563520,68.2,3
3524,43500000,76.9,12
3525,12938613,33.9,18
3526,8200000,38.5,5
3527,37000000,110.7,2
3528,17990000,70.0,6
3529,6499000,45.0,7
3530,17500000,61.6,14
3531,10488386,25.1,36
3532,6100000,27.0,19
3534,10700000,63.0,13
3535,9975169,39.1,26
3536,13200000,52.1,1
3537,11600000,55.0,6
3539,48000000,87.0,17
3540,19000000,52.3,31
3541,38500000,68.5,21
3542,23429179,68.15,13
3543,22600000,60.0,5
3544,11500000,37.7,5
3547,6424451,32.8,3
3548,16708120,50.6,12
3549,10500000,54.4,9
3550,13700000,75.0,6
3551,7850000,38.0,12
3552,17787529,72.28,28
3553,12000000,58.6,13
3554,37030868,78.4,10
3556,8900000,54.0,15
3557,11000000,42.5,7
3558,12000000,44.8,8
3559,18600000,54.0,15
3560,14900000,63.0,9
3561,15200000,65.0,5
3562,84390000,111.5,4
3564,17900000,72.3,17
3565,13450000,42.1,1
3566,8250000,33.2,3
3567,59000000,90.0,1
3568,11800000,75.0,6
3570,21500000,38.5,7
3572,21000000,108.2,3
3573,48079999,77.9,8
3574,11791817,36.0,12
3576,18477139,93.1,11
3577,54000000,105.0,13
3578,18882500,58.0,20
3579,49999999,80.8,2
3580,23121360,61.2,14
3581,27138745,61.7,23
3582,33300000,107.0,12
3583,5800000,33.5,6
3584,25161561,70.0,2
3585,32012840,76.04,8
3586,7517321,26.0,5
3587,10500000,65.3,2
3588,60000000,89.0,8
3589,25659360,61.8,16
3590,30403800,67.0,7
3591,6602284,43.5,17
3593,14200000,75.0,3
3594,18000000,77.0,16
3595,19350000,59.9,22
3596,25799992,66.0,9
3597,6100000,40.0,11
3598,15466570,80.2,8
3599,12700000,59.0,18
3600,20000000,81.5,8
3601,22249644,62.12,4
3602,8000000,36.7,8
3603,10300000,38.0,11
3604,9400000,30.0,1
3606,37602000,83.56,2
3607,14600000,45.0,14
3608,9105054,35.4,6
3609,12500000,45.0,3
3610,19900000,43.2,17
3611,13622427,54.48,13
3613,16500000,95.0,4
3614,45114720,111.12,2
3615,15600000,60.0,15
3616,97500000,153.0,4
3617,16412202,42.0,22
3618,14000000,39.3,6
3619,6300000,38.2,5
3622,13850000,51.0,16
3623,9447712,33.0,29
3624,28490215,76.7,15
3625,12750000,66.0,1
3626,12825000,68.4,8
3628,8400000,48.0,12
3630,19950000,63.5,2
3631,19600000,64.0,2
3632,17921860,41.0,2
3633,9800000,33.0,8
3634,21490000,49.0,12
3635,31603023,81.75,7
3636,75000000,87.0,5
3637,8567510,32.0,12
3638,20430000,44.0,7
3640,12850000,52.3,6
3641,12000000,50.3,2
3642,6490000,43.5,3
3643,12300000,62.0,5
3644,24201454,62.1,8
3645,12000000,54.0,20
3646,16500000,60.0,9
3647,8600000,58.4,4
3649,21250000,43.51,22
3651,6790000,31.0,4
3652,18500000,62.0,16
3653,7850000,40.0,11
3654,5019781,36.75,25
3655,10500000,49.1,19
3656,8250000,40.0,2
3657,18500000,58.0,11
3658,16401600,80.4,5
3659,13100000,68.4,2
3660,33577125,57.5,6
3661,38641500,89.21,8
3662,43800000,77.0,7
3663,17950000,38.4,3
3664,52130404,128.8,9
3665,19827984,71.0,32
3666,11450000,42.0,2
3667,11200000,30.1,1
3668,6150000,41.0,14
3669,65000000,71.2,2
3670,12600000,37.0,3
3671,22000000,77.0,2
3672,12000000,42.0,8
3673,14210000,40.0,1
3674,16950000,76.0,8
3675,12000000,40.0,6
3676,13500000,44.7,5
3677,13832532,50.0,19
3679,8950000,38.6,13
3680,9000000,52.0,6
3681,10500000,54.3,6
3682,18617808,53.0,16
3683,14553900,30.9,13
3684,17200000,75.0,7
3685,13000000,38.4,9
3686,21918000,56.2,33
3687,19412844,66.0,8
3688,23469775,57.5,5
3689,13500000,37.6,5
3690,13710620,30.7,19
3691,5400000,24.0,5
3692,16657805,41.3,9
3693,6500000,42.0,12
3694,60990000,134.1,5
3695,17905500,52.0,3
3696,12500000,74.1,19
3697,20000000,54.7,7
3698,48504358,110.69,12
3699,31980348,93.0,24
3700,15905401,83.6,2
3701,9000000,50.0,7
3702,11800000,55.5,20
3703,12500000,45.0,5
3704,21508715,58.91,12
3705,12500000,38.1,11
3706,10100000,55.5,7
3707,12800000,58.8,1
3708,46900000,99.0,7
3709,38000000,103.0,2
3710,9200000,35.2,11
3711,8900000,58.4,13
3712,22172435,68.46,6
3713,15742896,75.68,19
3714,50370000,91.1,5
3715,12500000,36.0,3
3716,28000000,80.9,2
3717,23959683,65.41,33
3718,19508906,48.2,17
3719,15700000,87.8,16
3720,8400000,36.1,2
3721,12649000,74.6,14
3722,15810000,73.2,20
3723,19766025,68.1,4
3724,19000000,32.7,8
3725,16500000,56.4,5
3726,7700000,47.46,9
3727,10500000,33.2,1
3728,13500000,45.0,8
3729,21000000,88.7,9
3730,23300000,76.0,2
3731,62000000,140.0,14
3732,18300000,32.0,8
3733,10000000,34.0,7
3734,13750000,76.2,7
3735,23808400,77.3,12
3736,6990000,31.2,3
3738,43000000,132.0,5
3739,10352756,34.0,23
3740,14350000,54.1,21
3741,38381048,64.0,12
3742,15080000,24.0,21
3743,7713862,26.0,4
3744,26875363,77.6,12
3745,6500000,27.0,5
3746,28500000,57.0,2
3747,7950000,25.0,11
3748,16713237,65.0,10
3749,22600000,43.0,5
3750,20829920,61.7,12
3751,8800000,62.5,3
3752,31500000,40.9,12
3753,13500000,46.1,7
3755,15428271,64.3,12
3756,32070000,70.98,6
3757,14500000,50.0,24
3758,11242560,58.8,19
3759,9300000,44.9,3
3760,14839799,55.0,8
3761,12250000,36.2,2
3762,33500000,107.2,6
3763,16630397,89.7,3
3764,20000000,33.0,14
3765,24700000,55.0,6
3766,10569295,36.9,6
3767,20000000,36.0,5
3768,13000000,40.2,2
3769,5854768,29.1,16
3770,10500000,42.1,4
3771,12293948,55.65,12
3772,30000000,117.5,2
3773,15517000,53.0,10
3774,14500000,43.3,15
3775,10621918,40.9,20
3776,9217147,24.0,9
3777,6852303,39.1,2
3778,14667391,72.88,11
3779,33750000,80.0,5
3780,14950000,64.0,3
3781,40290000,88.05,6
3782,26000000,75.0,4
3783,6400000,33.9,5
3784,14019461,33.9,3
3785,10850000,44.8,2
3787,26665846,90.0,4
3788,20300000,48.5,2
3789,44500000,113.0,9
3790,28900000,77.6,8
3791,7300000,42.0,15
3792,20900000,74.6,3
3793,32553255,65.1,21
3794,9000000,43.2,5
3795,9990000,32.3,12
3796,19000000,38.8,16
3797,14382981,53.0,19
3798,22000000,43.7,8
3799,12600000,67.39,1
3800,18883238,43.34,15
3802,10256635,34.01,18
3803,12990000,45.2,5
3804,13754944,79.7,12
3805,22531700,58.6,3
3807,43000000,126.0,5
3808,36708000,84.0,27
3809,21906623,43.63,2
3810,24441120,90.0,17
3811,56500000,90.0,2
3812,25500000,76.8,7
3813,22500000,71.4,3
3814,9000000,65.0,14
3815,48000000,90.0,3
3816,12599999,49.0,13
3817,27249212,68.5,2
3818,6300000,42.9,1
3819,7800000,38.4,7
3820,33548130,72.1,16
3821,8021416,37.8,13
3822,13000000,56.0,3
3823,13850000,43.0,5
3824,37000000,110.0,16
3825,15100000,75.5,8
3826,10300000,33.0,3
3827,11200000,44.0,7
3828,9100000,64.0,2
3829,40000000,118.9,4
3830,27000000,75.0,7
3831,13799999,91.0,25
3832,21182856,64.6,12
3834,13122875,61.4,6
3835,23000000,37.1,8
3836,12974100,54.14,12
3837,8999999,50.2,9
3838,12000000,100.0,1
3839,19832495,56.9,7
3840,6990000,31.7,3
3841,6950000,42.0,17
3842,45027948,65.4,33
3844,10804632,39.6,2
3845,9500000,55.1,14
3846,14514950,31.0,36
3848,16000000,85.0,10
3849,27910034,90.0,10
3850,13200000,46.6,2
3851,16990000,73.5,12
3852,38000000,87.0,15
3853,8500000,32.8,4
3855,6000000,25.0,11
3856,21175900,57.7,9
3857,7300000,55.0,5
3858,35141040,98.6,10
3859,57000000,124.0,5
3860,11399300,47.3,10
3861,30500000,75.4,7
3862,11900000,35.0,8
3863,22500000,95.5,5
3864,23000000,100.9,12
3865,16500000,52.3,5
3866,9690000,29.8,25
3867,13500000,35.0,12
3868,19000000,61.0,7
3869,15800000,39.0,5
3870,16000000,64.0,12
3871,5500000,31.5,7
3873,9400000,45.7,4
3874,15200000,59.1,16
3875,32000000,64.0,5
3877,14780000,39.0,18
3878,14500000,38.1,7
3879,30738400,62.0,19
3881,42190000,96.34,3
3882,33052421,83.4,6
3883,9825725,61.7,15
3884,12550000,37.5,14
3885,7980000,45.9,2
3887,5550000,31.2,3
3888,12700000,53.0,21
3889,35267940,72.0,24
3890,21400000,73.4,4
3891,127000000,143.0,21
3892,12350000,43.1,9
3893,35500000,75.8,8
3894,5150000,30.0,2
3895,14672642,68.66,25
3896,13450000,78.3,8
3897,21994850,70.93,6
3898,10600000,25.0,12
3899,12300000,56.4,7
3900,18500000,43.0,12
3901,40417635,64.5,18
3902,17000000,61.67,12
3903,10413217,36.9,8
3904,88201944,133.3,8
3905,21899649,78.7,8
3906,13155220,49.4,25
3907,7700000,37.7,7
3908,8340000,37.0,6
3909,11999000,30.0,2
3910,12005792,42.0,2
3911,23800000,77.0,17
3912,7800000,61.0,5
3913,5690000,30.8,1
3914,8350000,36.0,15
3915,13200000,54.7,7
3916,5699000,30.0,9
3917,34000000,59.3,2
3918,9200000,35.0,7
3919,36500000,70.0,2
3920,19106368,28.9,5
3921,20074378,39.4,13
3922,10255622,33.0,24
3923,10799000,43.8,3
3924,6250000,30.4,3
3925,8000000,42.6,17
3926,32000000,110.7,20
3927,12200000,37.7,5
3928,13446000,41.0,26
3929,19000000,53.0,11
3930,24505590,45.13,31
3931,10500000,52.0,6
3932,24500000,64.0,7
3933,31000000,112.0,6
3934,15700000,39.6,15
3935,16900000,63.0,30
3936,40900000,95.0,6
3937,10150000,42.0,3
3938,30000000,64.0,3
3939,13497702,51.0,9
3941,23500000,71.5,21
3942,7700000,37.0,11
3943,23500000,58.0,4
3944,18185466,41.34,4
3945,15900000,68.0,11
3946,10950000,41.0,1
3947,31500000,88.5,4
3948,11172910,32.06,10
3949,16999000,51.0,8
3950,50000000,75.6,12
3951,11528994,61.7,5
3952,9500000,63.4,17
3953,11591540,45.2,2
3954,20732400,44.3,5
3955,27838000,89.8,26
3956,50576156,65.6,3
3958,19000000,63.0,2
3959,8700000,32.5,9
3960,103000000,141.0,5
3961,6850000,37.0,9
3962,8959650,27.0,2
3963,44500000,82.0,8
3964,18228344,42.0,4
3965,39990000,89.0,1
3966,10800000,42.7,4
3967,24500000,58.0,26
3968,39990000,90.3,7
3969,15250000,48.0,9
3970,49054729,101.3,7
3971,49750000,100.33,23
3972,5200000,32.9,5
3973,19061960,45.8,18
3975,9400000,54.0,1
3976,10200000,55.6,14
3977,29900000,66.2,6
3978,15727264,71.9,12
3979,12000000,37.0,10
3980,11500000,45.8,11
3981,45278800,109.9,2
3982,9000000,55.0,4
3983,13869963,49.2,13
3984,13800000,38.5,10
3987,8898935,42.1,12
3988,60469600,112.0,9
3989,14966597,79.31,14
3990,16677000,54.5,2
3991,15900000,96.0,2
3992,15400000,40.0,12
3993,10300000,45.0,13
3994,22342312,80.0,21
3995,12500000,46.0,11
3996,8200000,47.0,2
3997,37719000,81.7,5
3998,23500000,56.9,7
3999,9456000,78.8,7
4000,10422100,43.5,5
4001,16700000,47.0,2
4002,14200000,34.8,12
4003,17168580,41.4,14
4004,9300000,33.0,2
4005,57300000,116.7,8
4006,8690563,26.0,15
4007,6990000,38.0,15
4008,53890000,110.0,4
4009,13500000,58.9,9
4010,10505853,33.0,8
4012,54323874,113.7,13
4013,25700000,91.0,3
4014,12300000,53.6,14
4015,21228236,35.0,12
4016,9600000,32.3,3
4017,7907068,34.9,18
4018,13950000,64.2,6
4019,8000000,42.5,5
4020,16500000,40.0,5
4021,18000000,35.1,5
4022,24800000,75.0,5
4023,8900000,39.4,15
4025,23000000,81.2,2
4026,15604442,80.5,24
4027,44691450,111.45,12
4028,11950000,37.9,10
4029,40813332,71.3,4
4030,12500000,55.0,2
4031,9926456,35.0,4
4032,60000000,80.0,4
4034,35088640,63.2,25
4035,59100000,132.1,1
4036,15965782,42.5,9
4037,21104250,48.0,30
4038,19800000,80.0,10
4039,19254248,73.0,6
4040,16530051,60.0,12
4041,15817871,70.0,5
4042,24600000,59.1,14
4044,5199000,42.6,17
4045,14398209,36.0,8
4046,18000000,55.4,2
4047,24247080,47.0,24
4048,10656000,61.8,5
4050,15990000,44.5,6
4051,17600000,62.2,4
4052,14200000,42.9,14
4054,37367400,89.0,29
4055,11695970,33.0,4
4056,24721565,57.7,14
4057,10750000,59.7,25
4058,13800000,52.1,9
4059,14585020,27.0,28
4060,8200000,30.5,2
4061,12537186,53.9,13
4062,41542320,72.0,9
4063,42300000,108.0,5
4064,8200000,32.5,2
4065,25900000,103.2,2
4066,23000000,101.4,1
4067,22777569,55.23,48
4068,10900000,47.0,13
4069,16950000,54.0,16
4070,19085086,43.9,25
4071,35499000,80.0,8
4072,5200000,43.3,1
4073,11780000,65.0,10
4074,23524892,59.65,18
4075,15250000,74.6,1
4076,21930000,65.5,1
4077,50500000,123.0,7
4078,8400000,37.7,6
4080,23500000,56.0,6
4081,32000000,88.0,2
4082,13800000,45.0,4
4083,41840760,65.0,8
4084,5500000,40.3,12
4086,50826592,59.0,2
4087,17600000,50.9,5
4088,16850000,45.5,4
4089,19415760,38.1,3
4090,12200000,38.0,14
4092,19810000,68.6,19
4093,28150000,44.0,12
4094,6499000,30.4,18
4095,16900000,54.0,8
4096,15850000,34.0,9
4097,37770000,66.0,20
4098,14657378,58.6,13
4099,17271000,85.5,6
4100,20900000,52.0,9
4101,21638002,67.5,24
4102,19492824,80.0,14
4103,8350000,61.2,4
4104,15300000,85.5,6
4105,16403150,48.0,12
4106,9500000,64.2,5
4107,8607539,24.0,8
4108,11990000,83.0,23
4109,25600000,104.0,7
4111,13599569,54.6,11
4112,13300000,64.5,1
4113,69838160,80.22,3
4114,79000000,103.0,5
4115,16657805,41.3,9
4116,8500000,34.2,5
4117,53000000,92.0,6
4118,12750000,64.4,10
4119,30510550,89.5,2
4120,32900000,103.0,11
4121,9729083,26.6,18
4122,8990000,42.0,4
4123,18048414,76.0,6
4124,15900000,50.0,2
4125,12270411,55.8,22
4126,16900000,64.7,15
4127,9900000,40.0,15
4128,19499454,70.2,3
4129,13891500,44.1,3
4130,85800000,77.0,17
4132,5550000,37.7,7
4133,11500000,38.0,12
4134,35900000,79.0,6
4135,12518750,40.7,8
4136,24679920,78.9,6
4137,15600000,36.2,32
4138,9500000,36.3,3
4139,24935295,88.1,31
4140,15299999,24.3,23
4141,8578609,24.9,15
4142,28500000,86.3,13
4143,8350000,30.0,3
4144,19657824,92.8,8
4145,15000000,59.0,11
4146,33370000,88.75,30
4147,16200000,45.0,9
4149,13700000,80.0,11
4150,13600000,65.0,9
4151,17945100,38.1,28
4152,6300000,42.0,10
4155,132000000,127.0,4
4156,59118000,100.2,21
4157,20685000,78.8,8
4158,14000000,88.0,16
4159,12155000,46.7,4
4160,9784080,38.0,19
4161,17000000,64.5,2
4162,20500000,57.7,3
4163,7550000,43.9,5
4164,35013952,57.0,33
4165,25990000,81.0,2
4166,5400000,31.8,1
4167,10399000,36.6,1
4168,11765692,57.0,6
4169,13500000,42.3,17
4170,37900000,105.0,2
4171,26999000,110.0,15
4173,5500000,40.0,9
4174,24000000,75.8,3
4175,7587103,27.02,22
4176,13350000,42.3,4
4177,8400000,32.9,3
4178,58500000,133.0,18
4179,8590000,68.42,5
4180,9500000,57.3,4
4181,48325221,98.0,26
4182,59000000,124.0,6
4183,14500000,74.2,1
4184,7500000,30.0,5
4185,39990000,87.7,22
4186,9750000,44.7,1
4187,16900000,39.5,2
4188,12900000,34.4,18
4189,57674536,126.2,39
4190,18500000,43.0,7
4191,16800000,34.7,6
4192,20474440,58.1,3
4193,76350000,89.0,4
4194,18950000,74.0,14
4195,11200000,54.0,8
4196,41900000,109.0,2
4197,13563808,68.4,20
4198,10706445,49.0,6
4199,22337046,86.91,21
4200,26000000,81.6,4
4201,37526580,92.0,3
4202,19800000,76.0,14
4203,13100000,85.3,24
4204,11500000,40.4,5
4205,41500000,90.0,2
4206,91700000,135.0,2
4207,24200000,92.1,6
4208,17515212,46.0,19
4209,5300000,26.0,1
4210,8000000,36.0,1
4211,35000000,80.0,4
4212,12900000,64.8,3
4213,8700000,67.4,3
4214,23000000,52.4,3
4215,22700000,41.37,34
4216,15899258,55.8,7
4217,25789170,46.0,40
4218,10524081,55.8,7
4219,7619171,24.0,13
4220,10300000,27.0,5
4222,93000000,150.0,10
4223,16978754,80.6,3
4224,32000000,78.0,6
4225,9535929,38.5,9
4226,22470000,38.0,11
4227,14500000,69.0,9
4228,16000000,82.3,9
4229,13900000,61.0,5
4230,20980000,43.3,27
4231,24863396,62.62,25
4232,58000000,60.0,3
4233,24000000,59.2,9
4234,13801043,49.0,15
4235,20700000,74.4,2
4236,15800000,74.5,8
4238,14500000,42.0,7
4240,33914548,59.0,24
4242,23451016,65.0,30
4243,59140776,85.9,10
4244,26700000,41.0,3
4245,14500000,36.4,4
4246,12428788,35.0,23
4247,16950000,100.0,4
4248,12999763,46.0,2
4249,19037708,83.0,2
4250,9347514,39.0,8
4251,11500000,75.4,11
4252,20540320,31.8,6
4253,42700000,89.0,14
4254,60000000,109.0,36
4255,9400000,73.0,4
4256,12309700,55.7,18
4257,45500000,72.0,11
4258,14990000,76.0,3
4259,6490000,41.5,6
4260,15350000,75.2,14
4261,10990000,43.4,9
4262,14600000,42.7,31
4263,8600000,25.3,9
4264,6100000,37.0,16
4265,13800000,40.5,20
4266,30000000,99.0,3
4267,10342535,40.9,17
4268,40000000,118.8,20
4269,25500000,75.7,9
4270,20364710,45.97,7
4271,16800000,63.0,1
4272,7900000,36.5,14
4273,54000000,104.7,25
4274,8000000,65.0,8
4275,20500000,50.9,2
4276,36500000,74.0,4
4277,13990000,47.3,4
4278,11300000,51.0,8
4279,5990000,26.0,14
4280,16700000,75.0,16
4281,27000000,86.0,11
4282,5500000,34.0,1
4283,16800000,32.1,3
4284,10023200,27.0,18
4286,6000000,31.5,3
4287,9300000,60.0,4
4288,15450000,74.0,5
4289,21683600,60.0,30
4290,72264990,135.1,20
4291,17500000,54.0,15
4292,12900000,39.0,12
4293,15999000,65.0,5
4294,36211253,54.3,20
4296,17000000,75.0,18
4298,12800000,62.1,12
4299,13727674,58.0,14
4300,19600000,52.8,8
4302,23000000,68.2,11
4303,22550000,126.0,15
4305,19500000,39.0,27
4306,37500000,79.68,12
4307,10206544,54.5,6
4308,119900000,126.0,6
4309,16332567,38.0,5
4310,28900000,100.0,5
4311,39000000,80.0,2
4312,7500000,43.7,3
4313,12920000,38.0,2
4314,19200000,87.0,6
4315,8000000,43.0,2
4316,38489999,90.33,2
4317,28710000,66.0,30
4318,13648000,79.0,10
4320,27000000,50.9,11
4321,12500000,34.0,8
4322,13250000,63.2,1
4323,11900000,38.0,7
4324,45000000,87.0,6
4325,8832324,35.18,2
4326,30505143,85.13,8
4327,16000000,67.0,2
4328,12900000,58.1,4
4329,8300000,58.5,5
4330,34072164,74.71,22
4332,14878882,58.93,29
4333,17219571,39.94,11
4335,34370910,80.1,9
4336,47000000,124.5,5
4337,13500000,58.9,3
4338,16180563,62.99,24
4340,57790270,109.1,23
4341,13376635,49.0,14
4342,56000000,90.0,5
4344,23133118,68.06,5
4345,16000000,86.9,8
4346,19500000,81.1,11
4347,25500000,48.0,2
4348,35440000,79.83,3
4349,6700000,34.0,7
4350,7897257,28.3,13
4351,14538574,61.8,10
4352,22500000,42.9,14
4353,31000000,84.2,8
4354,47300000,96.0,24
4355,14452461,25.8,9
4356,6900000,31.4,1
4357,47133963,77.7,38
4358,12580000,53.0,3
4359,7597572,24.0,10
4360,33611856,99.36,13
4361,17899999,72.3,43
4362,12044175,47.76,1
4363,15392580,40.0,18
4364,50678141,105.88,13
4365,27000000,90.3,1
4366,51000000,109.2,38
4367,13728784,43.3,6
4368,43500000,140.0,3
4369,18500000,41.2,9
4370,12000000,43.5,1
4371,12500000,74.0,8
4372,13699000,62.5,16
4373,23200000,98.7,11
4374,9950000,38.2,6
4375,10200000,42.6,14
4376,22500000,52.2,2
4379,11500000,44.5,2
4380,18500000,54.0,16
4381,11500000,38.2,12
4382,46000000,64.0,34
4383,21622600,73.0,9
4384,6700000,44.9,4
4385,54900000,104.2,4
4386,15700000,65.3,5
4387,22100000,39.0,15
4388,24031250,62.5,17
4389,38099000,92.7,3
4390,19500000,46.8,11
4391,15245126,55.0,10
4392,74875000,132.0,10
4393,7600000,50.0,8
4394,25792200,62.3,15
4395,11090336,35.79,2
4396,18400000,85.7,2
4398,11500000,38.0,6
4399,13700000,45.0,2
4402,15900000,62.6,5
4403,14817101,40.3,7
4404,25168125,64.95,44
4405,40000000,83.4,5
4406,35000000,62.0,17
4407,13338032,38.9,24
4408,9930000,45.9,7
4409,11757988,34.0,5
4410,14195340,30.6,41
4411,14900000,62.0,6
4412,11184084,59.1,14
4414,14300000,63.3,1
4415,11739160,27.0,29
4416,8500000,38.0,1
4417,48503000,72.5,18
4418,15000000,41.63,13
4419,10600000,33.0,5
4420,5400000,34.5,3
4421,8300000,42.0,17
4422,11300000,44.3,1
4423,15150000,91.2,8
4424,34920000,61.0,14
4425,26040960,41.11,34
4426,14700000,64.9,11
4427,44217824,117.5,4
4428,8210948,35.4,16
4429,7900000,61.0,14
4430,8340000,42.6,1
4431,76000000,92.0,5
4432,14838533,64.0,3
4433,26889716,80.83,27
4435,15500000,41.3,15
4436,31500000,77.6,21
4437,16500000,83.0,19
4438,25390372,110.0,2
4439,11700000,56.0,17
4440,15830000,72.2,21
4441,14600000,65.0,2
4442,24800000,64.0,10
4443,8200000,36.2,1
4444,11300000,40.0,4
4445,9900000,75.0,3
4446,10000000,48.5,8
4447,7100000,43.0,10
4448,12884300,58.0,8
4449,9568854,36.0,21
4450,16059571,70.0,8
4451,23000000,65.4,1
4452,50440000,126.1,8
4453,10500000,37.6,17
4454,40342626,71.0,19
4455,24368774,68.0,9
4456,30000000,60.0,3
4457,18913460,39.0,53
4460,11436027,36.0,17
4461,15500000,35.3,6
4462,22000000,53.4,18
4463,37400790,72.3,10
4464,25085444,65.0,11
4465,16650000,72.6,13
4466,32500000,74.3,7
4467,14200000,60.0,5
4468,70464037,63.8,4
4469,7000000,37.2,5
4470,6200000,36.3,9
4471,40500000,80.0,14
4472,13200000,43.9,5
4473,10000000,65.3,4
4474,38804490,100.27,18
4475,17000000,44.29,24
4476,7100000,27.6,5
4477,22985460,46.1,5
4478,19269532,39.0,21
4479,10600000,50.0,1
4480,6800000,56.5,1
4481,6100000,24.2,8
4482,13900000,49.2,4
4483,29917505,77.5,10
4485,11350000,81.6,4
4486,14000000,60.9,15
4487,15283726,55.93,21
4488,9500000,57.0,9
4489,10500000,29.7,7
4490,9175030,76.4,1
4491,13819292,40.9,20
4492,39470506,109.1,13
4493,9100000,64.0,12
4495,13078800,37.8,5
4496,10300000,37.6,2
4497,18400000,78.5,12
4498,13500000,44.4,9
4501,11500000,46.6,24
4503,11278912,41.2,2
4505,17810000,30.0,21
4506,24000000,93.4,10
4507,8030880,28.6,16
4508,8247444,53.0,1
4509,31500000,80.8,7
4510,19440000,36.0,18
4511,8500000,52.0,5
4512,5850000,25.6,2
4513,15700000,53.8,14
4514,12060281,53.8,7
4516,14500000,86.0,23
4518,20000000,45.1,7
4519,30961240,66.1,30
4520,39758920,99.0,4
4521,27900000,93.5,12
4522,18000000,68.2,6
4523,17000000,45.5,8
4524,13500000,67.0,14
4525,11950000,36.6,18
4526,26862580,63.4,41
4529,80000000,106.8,3
4530,73028520,130.0,4
4531,18950000,78.0,6
4532,13800000,51.0,11
4534,23500000,52.5,4
4535,41000000,105.7,2
4538,8431449,59.7,1
4539,23500000,78.0,17
4540,12000000,88.0,1
4541,36450000,68.86,21
4542,30000000,73.0,6
4543,23900000,72.0,10
4544,9000000,60.6,4
4545,21700000,86.0,12
4546,26478588,97.0,2
4547,35023556,111.0,4
4548,14204733,62.0,4
4549,18973011,72.4,15
4550,11766658,64.5,2
4551,7150000,32.7,5
4553,12000000,67.8,3
4554,12700000,53.6,1
4555,7800000,43.0,1
4556,17863560,57.2,13
4557,10500000,43.0,3
4558,19104432,91.76,24
4559,32669500,111.5,6
4560,10999000,67.0,9
4561,7900000,38.6,13
4562,13500000,51.0,7
4563,5950000,31.5,4
4564,15990000,85.5,15
4565,7519068,38.08,12
4566,15542160,37.2,14
4567,15237411,71.6,12
4568,29500000,73.0,9
4569,8500000,56.3,3
4570,18033862,67.0,9
4571,11900000,65.7,7
4573,23000000,56.0,19
4575,8799000,59.0,1
4577,13500000,62.0,10
4578,72000000,98.7,2
4579,23700000,73.0,6
4580,13481250,71.9,2
4581,13500000,41.2,3
4582,7850000,59.6,5
4583,17950000,38.0,5
4584,18700000,79.8,1
4585,13200000,58.3,4
